document_url,key_identifier,patent_country,patent_country_code,patent_application_number,patent_number,patent_name,page_bookmark,inventors,applicants,classification_international,classification_cooperative,application_number,priority_numbers,abstract,patent_description,original_claims,claims_tree,cited_documents,citing_documents,INPADOC_legal_status,INPADOC_patent_family
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=24&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205649113U&KC=U,CN205649113U,China,CN,,CN205649113U,种基于杠杆原理的指甲刀防脱离装置,"CN205649113 (U)
                     -种基于杠杆原理的指甲刀防脱离装置",NEEDS FIXING!,NEEDS FIXING!,A45D29/02,,CN20162312018U 20160414,CN20162312018U 20160414,本实用新型公开了种基于杠杆原理的指甲刀防脱离装置，包括带锁扣的连接销主体、定位销、卡子，拉伸弹簧、压缩弹簧。所述连接销内设有定位销孔与位于同侧的上下两个密封槽，上密封槽内有个压缩弹簧，下密封槽内有个拉伸弹簧；连接销主体上部设有锁扣，卡子通过定位销与锁扣接触从而保证与连接销的位置关系。上下两个弹簧以定位销为支点作用力于卡子上，保证卡子与锁扣保持可靠性连接。本实用新型所设计的防脱离装置基于杠杆原理，解决了现有指甲刀在受到意外挤压力时导致按压板与连接销以及上、下夹刀脱离的技术问题。本实用新型所设计的防脱离装置结构简单合理、操作灵活，在不影响整体工作的前提下保证按压板与连接销可靠性连接。,,,,,,"CNF201620312018 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 种基于杠杆原理的指甲刀防脱离装置 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: A45D29/02 Publication info: CN205649113 (U), 2016-10-19 Priority date: 2016-04-14
"
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=23&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205651780U&KC=U,CN205651780U,China,CN,,CN205651780U,种用于智能旋转烫印机上的烫印加热装置,"CN205651780 (U)
                     -种用于智能旋转烫印机上的烫印加热装置",NEEDS FIXING!,NEEDS FIXING!,B41F19/06rowB41G1/00,,CN20162314050U 20160415,CN20162314050U 20160415,本实用新型公开了种用于智能旋转烫印机上的烫印加热装置，包括底架、支撑架、气缸、加热结构和电机，底架包括底板、底板二、调节板和调节螺栓，底板二安装于底板的顶面，调节板安装于底板的后端，调节螺栓安装于调节板的上部，调节螺栓的前端抵接于底板二的后端面；支撑架包括固定支架、活动支架、弹性支架和安装支架，固定支架固定安装于底板二顶面的右部，活动支架铰接于底板二的左部，弹性支架固定安装于活动支架上部的左侧，安装支架固定安装于活动支架中部的左侧。解决了现有数码产品部件表面颜色处理方式浪费资源、污染环境、生产效率低、生产成本高和上色效果不好的问题。,,,,,,"CNF201620314050 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 种用于智能旋转烫印机上的烫印加热装置 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: B41F19/06, B41G1/00 Publication info: CN205651780 (U), 2016-10-19 Priority date: 2016-04-15
"
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=22&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205657923U&KC=U,CN205657923U,China,CN,,CN205657923U,种PCB钻头,"CN205657923 (U)
                     -种PCB钻头",NEEDS FIXING!,NEEDS FIXING!,H05K3/00,,CN20162315532U 20160415,CN20162315532U 20160415,本实用新型涉及PCB板专用钻头设计领域，具体是种PCB钻头，PCB钻头为可拆装的结构，包括钻柄和钻刃，钻柄由多个钻柄单元依次拼接而成，每个钻柄单元的上端中心位置设有卡环槽，卡环槽内装有钻刃卡环，钻刃依次穿过钻刃卡环和钻柄单元固定在钻柄内部，且钻刃端部位于钻柄外。这种PCB钻头，将传统的体式钻头结构改成拆装可更换式结构，这种结构，不用体化加工，磨削切削加工损耗较少，节约了钻头的生产成本；并且由于分体式，局部损耗的时候，不影响其他部位的正常使用，将损坏的部位替换或者剔除仍可继续使用，杜绝了不必要的浪费，定程度上也节约了生产成本，杜绝了能源的浪费。,,,,,,"CNF201620315532 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 种PCB钻头 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: H05K3/00 Publication info: CN205657923 (U), 2016-10-19 Priority date: 2016-04-15
"
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=21&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205650869U&KC=U,CN205650869U,China,CN,,CN205650869U,种便于调节的高效端面铣床,"CN205650869 (U)
                     -种便于调节的高效端面铣床",NEEDS FIXING!,NEEDS FIXING!,B23C1/06rowB23Q11/00rowB23Q3/154rowB23Q5/36,,CN20162328266U 20160419,CN20162328266U 20160419,本实用新型涉及种端面铣床，尤其涉及种便于调节的高效端面铣床。本实用新型要解决的技术问题是提供种调节灵活性好、钻孔效率高、可降低后期工作难度的便于调节的高效端面铣床。为了解决上述技术问题，本实用新型提供了这样种便于调节的高效端面铣床，包括有收集槽、底板、电动轮、滑轨Ⅰ、滑块Ⅰ、拉线、从动轮、右支架、电动推杆、顶板、滑轨Ⅱ、支杆、电机Ⅰ、球体、海绵、电机Ⅱ、电磁铁Ⅰ、卡杆、滑块Ⅱ、齿轮、电机Ⅲ、齿条、电机Ⅳ、铣头、电磁铁Ⅱ、弹簧和工作台，底板上左侧放置有收集槽。本实用新型达到了调节灵活性好、钻孔效率高、可降低后期工作难度的效果，利用本实用新型进行工件钻孔，钻孔精确，有益于后期加工。,,,,,,"CNF201620328266 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 种便于调节的高效端面铣床 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: B23C1/06, B23Q11/00, B23Q3/154, (+1) Publication info: CN205650869 (U), 2016-10-19 Priority date: 2016-04-19
"
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=20&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205650591U&KC=U,CN205650591U,China,CN,,CN205650591U,种固体废弃物的处理设备,"CN205650591 (U)
                     -种固体废弃物的处理设备",NEEDS FIXING!,NEEDS FIXING!,B09B3/00,,CN20162325590U 20160418,CN20162325590U 20160418,本实用新型属于环保设备技术领域，尤其涉及种固体废弃物的处理设备，包括箱壳、进料口、进液口、第腔室、第二腔室、第三腔室、第通道、第二通道、第料门、第二料门、加热器、恒温器、冷凝器、出液口，所述箱壳上部分别设置有进料口和进液口，所述箱壳内部从上至下依次分为第腔室、第二腔室和第三腔室，所述第腔室和第二腔室之间通过第通道连接，所述第二腔室和第三腔室之间通过第二通道连接，所述第通道内部和第二通道内部分别设置有第料门和第二料门。本实用新型提供种废弃物处理较彻底、排出物质不易污染环境的固体废弃物的处理设备。,,,,,,"CNF201620325590 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 种固体废弃物的处理设备 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: B09B3/00 Publication info: CN205650591 (U), 2016-10-19 Priority date: 2016-04-18
"
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=19&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205654259U&KC=U,CN205654259U,China,CN,,CN205654259U,种钢质防火门,"CN205654259 (U)
                     -种钢质防火门",NEEDS FIXING!,NEEDS FIXING!,E06B1/52rowE06B3/36rowE06B3/70rowE06B5/11rowE06B5/16,,CN20162328343U 20160419,CN20162328343U 20160419,本实用新型涉及种钢质防火门，属于防火门技术领域。种钢质防火门，其特征在于：包括门框(1)、门扇(2)、铰链(5)、锁具(3)；所述门框(1)的截面具有阶梯结构，门扇(2)具有与其对应的阶梯结构；所述门扇(2)内部的四周部位设有矩形龙骨(7)，矩形龙骨(7)的两侧分别设有层防火板(9)；所述防火板(9)的外部粘接金属复合板(10)；金属复合板(10)与矩形龙骨(7)之间被防火板(9)隔开，隔断金属件的热传导途径；对防火板(9)及矩形龙骨(7)围成的空间内填充珍珠岩板(8)，所述门扇(2)通过铰链(5)与门框(1)连接，所述铰链(5)为外置安装式，并通过螺栓与门扇(2)固定，从而不破坏门扇外部的结构。,,,,,,"CNF201620328343 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 种钢质防火门 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: E06B1/52, E06B3/36, E06B3/70, (+2) Publication info: CN205654259 (U), 2016-10-19 Priority date: 2016-04-19
"
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=18&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205651434U&KC=U,CN205651434U,China,CN,,CN205651434U,种高频振动海绵打孔装置,"CN205651434 (U)
                     -种高频振动海绵打孔装置",NEEDS FIXING!,NEEDS FIXING!,B26D7/08rowB26D7/18rowB26D7/26rowB26F1/16,,CN20162313575U 20160415,CN20162313575U 20160415,本实用新型具体涉及种高频振动海绵打孔装置，主要用于打印复印机中转印辊上弹性层的加工。所述高频振动海绵打孔装置，包括超声波发生器、与所述超声波发生器通过导线相连的超声波换能器、与所述超声波换能器相连的至少级变幅杆和与所述变幅杆相连的管状刀具，所述管状刀具与相连的变幅杆通过螺纹连接，所述管状刀具包括与所述变幅杆相接的连接头、内含空腔的管体和刃口，所述管体端与连接头通过螺纹连接，另端设有所述刃口，所述管体与连接头连接处设有圆弧过渡结构。本实用新型提供的技术方案通过高频振动的方式在海绵上轻松打孔，打孔过程稳定，孔径尺寸精度高，孔壁表面平整无损伤，产品合格率大幅提升，生产效率明显提高。,,,,,,"CNF201620313575 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 种高频振动海绵打孔装置 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: B26D7/08, B26D7/18, B26D7/26, (+1) Publication info: CN205651434 (U), 2016-10-19 Priority date: 2016-04-15
"
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=17&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205649030U&KC=U,CN205649030U,China,CN,,CN205649030U,种可调充气式缓冲童鞋,"CN205649030 (U)
                     -种可调充气式缓冲童鞋",NEEDS FIXING!,NEEDS FIXING!,A43B13/20rowA43B3/30,,CN20162317670U 20160411,CN20162317670U 20160411,本实用新型提出了种可调充气式缓冲童鞋，包括鞋面与鞋底，所述鞋底包括气囊，所述气囊包括设置于脚跟处用于充气的气嘴，所述气嘴与气囊内部相通，所述气囊由柔性橡胶与帘布复合制成，所述气囊包括上表面与下表面，所述上表面与下表面之间设有若干连接部，所述连接部为柔性抗拉帘布芯制成，所述柔性抗拉帘布芯与气囊外壁的帘布相连，所述连接部可在气囊充气时约束气囊厚度从而避免气囊膨胀过度，并保证气囊在不改变厚度的前提下根据不同体重充入不同的预充压力，形成定的预支撑力，本实用新型将可根据不同体重的孩子，充入不同压力达到良好的支撑与缓冲效果，在不同场合可释放内部气体提升鞋底柔软度，减轻足部压力提高舒适感。,,,,,,"CNF201620317670 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 种可调充气式缓冲童鞋 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: A43B13/20, A43B3/30 Publication info: CN205649030 (U), 2016-10-19 Priority date: 2016-04-11
"
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=16&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205657056U&KC=U,CN205657056U,China,CN,,CN205657056U,阵列基板与显示装置,"CN205657056 (U)
                     -阵列基板与显示装置",NEEDS FIXING!,NEEDS FIXING!,H01L27/12rowH01L29/06rowH01L29/423,,CN20162327827U 20160419,CN20162327827U 20160419,本实用新型提供种阵列基板，包括：基底；栅极层，包括栅极组，栅极组阵列排布于基底上，包括交替间隔排列的第栅极组和第二栅极组，第栅极组和第二栅极组均包括至少个栅极；有源层，设置于基底和栅极层之间，包括第沟道组和第二沟道组，第沟道组对应第栅极组，第二沟道组对应第二栅极组；遮光层，设置于基底与有源层之间，包括第遮光层和第二遮光层，第遮光层与第二遮光层之间设置有第缓冲层，第遮光层对应第沟道组，第二遮光层对应第二沟道组。本实用新型通过交替间隔设置的两层遮光层，增大了同层内相邻遮光层间的距离，避免了将遮光层同层设置时相邻遮光层之间分开困难的问题。,,,,,,"CNF201620327827 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 阵列基板与显示装置 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: H01L27/12, H01L29/06, H01L29/423 Publication info: CN205657056 (U), 2016-10-19 Priority date: 2016-04-19
"
https://worldwide.espacenet.com/data/publicationDetails/biblio?DB=EPODOC&II=15&ND=3&adjacent=true&locale=en_EP&FT=D&date=20161019&CC=CN&NR=205651226U&KC=U,CN205651226U,China,CN,,CN205651226U,种平面磨床的防撞砂轮,"CN205651226 (U)
                     -种平面磨床的防撞砂轮",NEEDS FIXING!,NEEDS FIXING!,B24B55/00rowB24B55/04rowB24B55/06,,CN20162314492U 20160415,CN20162314492U 20160415,本实用新型提供了种平面磨床的防撞砂轮，包括砂轮和砂轮罩，所述的砂轮罩后侧设有挡屑机构，挡屑机构包括挡屑调节板、调节弹簧、调压螺栓和挡屑块，所述的挡屑块侧面设有引导槽，砂轮罩后侧的底部设有固定孔，所述的调压螺栓穿过引导槽且与砂轮罩的固定孔相固定，使挡屑块相对砂轮罩上下移动，调节弹簧位于调压螺栓和挡屑块的侧面之间，调节挡屑块与砂轮罩之间的距离。本新型设置调压螺栓以及调节弹簧在挡屑机构及砂轮罩之间，在砂轮因摩擦损耗而直径变小时，挡屑调节板可自动沿调压螺栓上移调节；同时调节弹簧可在工件与挡屑调节板相摩擦时，由调节弹簧缓冲挡屑机构被带动产生的偏移，防止因摩擦力过大而直接拖动砂轮罩整体偏移。,,,,,,"CNF201620314492 U(Utility model)
Event date :2016/10/19
Event code :C14
Code Expl.:+                                         GRANT OF PATENT OR UTILITY MODEL

","Patent 1: 种平面磨床的防撞砂轮 Inventor: , Inventor:, , Applicant: , Applicant:, , CPC:  IPC: B24B55/00, B24B55/04, B24B55/06 Publication info: CN205651226 (U), 2016-10-19 Priority date: 2016-04-15
"
